,body_length_mm,body_volume_mm3,flipper_length_mm,body_mass_g,sex
0,402,7132,211,5182,Female
1,479,6851,218,3487,Male
2,392,6440,197,3718,Female
3,314,6766,200,7516,Male
4,406,8644,227,3855,Female
5,371,5326,178,6765,Female
6,488,5914,223,7116,Male
7,320,7968,220,6635,Female
8,402,8917,198,4060,Male
9,421,8392,183,3918,Male
10,374,6952,209,3454,Male
11,387,3595,210,3483,Male
12,416,8999,191,3474,Female
13,399,3728,180,6633,Female
14,403,4365,192,7870,Male
15,451,7492,170,6472,Female
16,430,3698,215,7795,Female
17,449,8731,206,3413,Male
18,352,3395,190,7049,Female
19,301,7171,195,2536,Male
20,387,7360,215,5887,Male
21,457,5502,205,4211,Female
22,337,4819,223,5520,Female
23,429,3717,192,3295,Female
24,491,5782,226,6536,Male
25,487,7946,170,7568,Male
26,320,6577,223,7188,Female
27,460,8486,224,7733,Female
28,357,3143,220,5611,Female
29,321,7980,209,3824,Female
30,388,6140,184,2817,Male
31,348,7491,190,4896,Female
32,358,5938,216,4662,Male
33,469,8588,178,5245,Male
34,487,6636,222,7942,Female
35,314,6222,178,4091,Female
36,489,4167,179,5611,Female
37,489,5616,221,6430,Male
38,474,4062,226,4496,Female
39,489,5156,222,3812,Female
40,350,8161,195,3785,Male
41,407,8305,210,6811,Female
42,354,5982,204,4883,Male
43,363,6294,221,5739,Female
44,430,7729,194,4639,Male
45,350,4156,195,4204,Female
46,434,8334,180,2862,Female
47,320,3732,207,5104,Male
48,372,7330,171,4216,Male
49,466,7846,176,7789,Female
50,317,3953,187,6951,Male
51,431,5539,196,6786,Male
52,388,6324,203,6238,Male
53,359,6301,196,4969,Male
54,313,4542,186,7295,Female
55,308,8293,212,3056,Female
56,389,8772,228,3325,Male
57,352,4191,213,5308,Male
58,429,8512,228,7650,Male
59,383,5993,220,7021,Male
60,391,5681,223,5219,Female
61,410,4217,193,6008,Female
62,487,4540,194,6241,Male
63,498,6236,176,4074,Male
64,471,8541,221,6498,Male
65,307,5386,175,4629,Female
66,474,6719,222,4903,Male
67,334,8615,193,5829,Female
68,380,4388,202,3088,Male
69,463,4856,218,4512,Female
70,349,4365,198,4047,Male
71,403,3499,212,2794,Female
72,431,4680,191,4485,Male
73,301,3510,195,7843,Male
74,433,7312,197,5617,Male
75,353,4324,219,4190,Female
76,405,4155,190,3636,Male
77,303,4827,218,7852,Female
78,353,6141,176,4564,Female
79,490,6486,186,6955,Male
80,445,4810,189,7295,Male
81,343,5923,210,7043,Male
82,461,8301,218,7270,Female
83,489,5214,189,3507,Male
84,313,7186,223,7945,Female
85,394,3713,191,5014,Female
86,347,8977,197,6026,Male
87,314,6602,209,7181,Male
88,499,7134,218,7852,Male
89,489,6522,176,3747,Male
90,339,7268,170,7589,Male
91,381,7748,201,6402,Male
92,410,7849,182,3935,Female
93,352,4243,199,3071,Female
94,323,6709,192,4882,Female
95,453,4081,220,3745,Male
96,487,8779,228,4584,Female
97,423,3455,225,7584,Female
98,340,7924,188,2777,Female
99,456,3894,201,7815,Female
100,314,4384,199,4387,Female
101,344,4958,198,7079,Male
102,364,6072,218,3765,Male
103,388,4996,214,7326,Female
104,370,7285,198,3540,Female
105,308,3504,199,3417,Female
106,387,4214,185,3385,Male
107,428,4531,209,5252,Male
108,435,6440,188,2521,Female
109,362,3823,187,7069,Male
110,438,3928,170,5691,Male
111,380,8029,183,4853,Female
112,435,8236,220,7299,Male
113,462,3133,216,3186,Male
114,462,5105,219,2784,Female
115,332,6627,171,7311,Male
116,422,7780,223,6247,Male
117,304,4852,197,3262,Female
118,340,7910,218,7846,Male
119,327,8268,219,7543,Male
120,434,7175,199,4928,Female
121,371,5933,207,5007,Female
122,311,6284,220,7626,Female
123,461,7298,173,2528,Male
124,332,5811,170,3406,Female
125,347,8348,177,5604,Male
126,450,8795,198,6499,Female
127,361,4250,224,5494,Male
128,336,8778,208,5006,Female
129,398,8651,172,7165,Female
130,471,6512,201,6109,Female
131,403,4256,179,6053,Female
132,334,6376,179,3953,Male
133,492,8645,188,7333,Female
134,400,8262,215,5856,Female
135,474,6486,203,3015,Male
136,430,6584,229,2538,Female
137,300,4396,202,5842,Male
138,304,6637,192,3386,Female
139,441,6330,224,5344,Female
140,402,5703,197,4704,Female
141,326,3470,201,3598,Male
142,436,8131,219,4323,Female
143,314,4353,176,5701,Female
144,389,5783,198,7569,Female
145,341,5831,177,5655,Male
146,423,8063,170,5593,Male
